1,power-management>notification>,6
100,sound>headphones>speakers>,6
100004,disk-usage>logging>,15
100010,login>password>lightdm>,6
100031,11.10>64-bit>,1
100039,vpn>,2
10004,10.10>webcam>,1
100051,11.10>sudo>,6
100052,ssh>login>customization>ip-address>,6
100053,software-recommendation>,3
100062,11.10>intel-graphics>intel>,1
100074,display>resolution>hdmi>tv>zoom>,1
10008,shortcut-keys>,32
100086,command-line>ls>,2
10009,window-manager>xmonad>,2
100090,wireless>drivers>software-installation>ndiswrapper>,2
100092,network-manager>desktop-environments>openvpn>network-bridge>,1
100094,11.10>xfce>titlebar>,1
100107,juju>,1
100119,launchpad>launchpad-api>,1
100137,11.10>nvidia>,1
100144,kde>themes>appearance>lxde>,1
100146,11.10>bash>sudo>bashrc>,3
100161,upgrade>kubuntu>,2
100167,mount>filesystem>permissions>macosx>hfs+>,5
100186,bash>command-line>kill>,1
100187,server>btrfs>,1
10020,filesystem>files>delete>,1
100212,bash>,1
100215,gnome>workspaces>vlc>window>,1
100226,command-line>gnome>,2
100231,gnome>vlc>window-management>,1
100232,boot>grub2>,135
100233,kernel>mainline-kernel>,4
100252,users>user-profile>,2
10026,10.10>search>special-characters>,1
100263,11.10>ruby>rails>sqlite>gem>,1
100275,community>,4
100278,filesystem>exfat>,10
100281,openpgp>,25
100289,settings>,1
10030,networking>samba>,1
100306,unity>indicator>connection>,13
10031,unity>,6
100320,security>,2
100325,11.10>battery>,3
100329,boot>btrfs>,6
100340,kernel>cpu>,2
100348,ppa>,1
100385,google-earth>,1
100397,legal>,1
1004,design>,1
100406,latex>texlive>,2
100411,themes>gtk>awesome>,5
100418,permissions>,1
10043,gnome>kde>users>,1
10044,10.04>video>performance>ati>,3
100455,openoffice.org>libreoffice>calculator>math>,1
100463,package-management>flash>update-manager>,2
100471,shortcut-keys>,1
100489,12.04>networking>broadband>,1
100520,unity>launcher>window-manager>autohide>,1
100524,thunderbird>search>contacts>,1
100527,11.10>video>webcam>macbook>cheese>,1
100528,networking>printing>,1
100529,package-management>software-installation>python>,2
100530,bash>console>automation>,1
100550,server>virtualbox>virtualization>,1
100551,ip-address>,1
100566,nautilus>,4
100568,command-line>drive>,6
100570,wireless>vaio>sony>,1
100575,installation>sudo>ruby>rvm>,3
100582,sound>jack>midi>,1
100583,virtualbox>vmware>virtualization>,2
10059,laptop>power-management>,1
1006,launchpad>,1
100604,11.10>command-line>resolution>vnc>headless>,2
100612,apt>git>,2
100620,ubuntu-one>,1
100648,11.10>kernel>grub2>,1
100654,11.10>android>,1
100661,directory>,2
100662,package-management>,1
100672,fonts>,4
100676,networking>,1
100682,proxy>localhost>,1
100693,firefox>default-browser>,1
100710,menu>lxde>kile>,1
100715,networking>,1
100719,flash>downgrade>gpu>,1
100721,11.10>64-bit>,2
100734,nautilus>directory>nautilus-script>,1
100751,64-bit>java>minecraft>,5
100752,filesystem>performance>ecryptfs>defrag>,3
100753,boot>performance>fsck>,2
100764,command-line>files>,3
100765,google-chrome>panel>icons>,1
100769,software-recommendation>,1
100773,11.10>compiz>workspaces>,1
100786,mplayer>vdpau>,1
100797,thunderbird>,2
100798,virtualbox>windows-7>wacom>,1
100813,bug-reporting>,2
10082,package-management>hardware>drivers>printing>,2
100823,server>launcher>ssh>command-line>putty>,6
100852,package-management>packaging>install-from-source>,1
100857,release-management>,1
100898,xorg>configuration>resolution>monitor>,2
10090,10.10>unity>gdm>,1
100900,xorg>configuration>resolution>monitor>,7
100905,gnome>shutdown>unprivileged>,2
100929,installation>package-management>latex>,6
10094,database>,1
100945,bios>,14
100954,10.10>grub2>,1
100963,community>,1
100974,unity>nautilus>unity-dash>,2
10099,11.04>openoffice.org>libreoffice>,1
100994,pdf>conversion>convert>jpeg>,2
101003,cinnamon>,3
101005,juju>amazon-ec2>,2
101009,uninstall>joystick>,1
101014,networking>server>,1
101025,documentation>scanner>,1
101028,unity>intel-graphics>,2
101029,11.10>windows>nfs>cifs>,6
101032,11.10>firefox>flash>browser>,1
10104,themes>accessibility>,3
101041,samba>active-directory>,1
101049,nvidia>monitor>,1
101050,upgrade>lts>,2
101058,proxy>minecraft>,1
101064,wine>uninstall>,17
101077,proxy>squid>,1
101100,nautilus>gconf>preferences>,4
101104,wireless>broadcom>,1
101105,mouse>logitech>mouse-wheel>,4
101109,10.04>sound>,1
101115,lightdm>wallpaper>unity-greeter>,4
101132,installation>ppa>updates>,1
